opcode	handler	handler_symbol	confidence	schema	static_paths	name	variable_operands	uses	resources	first_site
0x1a	0x4f44	bin_handler_add_edge_transition_handler	verified	BHs	BH/BHH	add_reverse_edge_arrival_handler	-	18	CW1.BIN,CW2.BIN,CW3.BIN,CW4.BIN,CW5.BIN,CW6.BIN,GANTRY.BIN	GANTRY.BIN@0x016e
0x1b	0x500e	bin_handler_prime_primary_scene_thread_timer	medium	H	H	prime_primary_scene_thread_timer	-	0	-	-
0x1c	0x4cf3	bin_handler_enable_scene_thread_action	verified	B	B	enable_scene_thread_action	-	9	AHAL.BIN,GHALPL.BIN,GHALPR.BIN,OUTGL.BIN,OUTGR.BIN	OUTGR.BIN@0x05f4
0x1d	0x4d09	bin_handler_disable_scene_thread_action	verified	B	B	disable_scene_thread_action	-	80	AHAL.BIN,BHAL.BIN,BOSS.BIN,CHAL.BIN,COMBAT1.BIN,COMBAT2.BIN,COMBAT3.BIN,COMBAT4.BIN,COMBAT5.BIN,COMBAT6.BIN,COMBAT7.BIN,CP1.BIN,CP2.BIN,CP3.BIN,CULT.BIN,DENY.BIN,DHAL.BIN,EHAL.BIN,FACE.BIN,FEAR.BIN,FHAL.BIN,GHAL.BIN,GHALB.BIN,GHALPL.BIN,GHALPR.BIN,GHALS.BIN,JELO.BIN,LAW.BIN,LOGO.BIN,MENU.BIN,OUTE.BIN,OUTGL.BIN,OUTGR.BIN,OVER.BIN,POWER.BIN,RICH.BIN,ROOM1.BIN,ROOM2.BIN,ROOM3.BIN,ROOM4.BIN,TITLE.BIN	LOGO.BIN@0x0186
0x1e	0x4557	bin_handler_copy_variable	verified	HH	HH	copy_variable	0,1	63	AHAL.BIN,BHAL.BIN,CHAL.BIN,CP2.BIN,DHAL.BIN,EHAL.BIN,FHAL.BIN,GHAL.BIN,GHALB.BIN,GHALS.BIN,KABLAM.BIN,OUTE.BIN,OUTGL.BIN,OUTGR.BIN,POWER.BIN,ROOM3.BIN,ROOM4.BIN	KABLAM.BIN@0x028f
0x1f	0x4577	bin_handler_set_variable	verified	HH	HH	set_variable	1	733	AHAL.BIN,BHAL.BIN,CHAL.BIN,COMBAT1.BIN,COMBAT2.BIN,COMBAT3.BIN,COMBAT4.BIN,COMBAT5.BIN,COMBAT6.BIN,COMBAT7.BIN,CP1.BIN,CP2.BIN,CP3.BIN,CULT.BIN,CW1.BIN,CW2.BIN,CW3.BIN,CW4.BIN,CW5.BIN,CW6.BIN,DENY.BIN,DHAL.BIN,DOME.BIN,EHAL.BIN,FACE.BIN,FEAR.BIN,FHAL.BIN,FIRST.BIN,GANTRY.BIN,GHAL.BIN,GHALB.BIN,GHALPL.BIN,GHALPR.BIN,GHALS.BIN,INTRO.BIN,JELO.BIN,KABLAM.BIN,LAW.BIN,LOGO.BIN,MENU.BIN,NAGE.BIN,OUTA.BIN,OUTB.BIN,OUTC.BIN,OUTD.BIN,OUTE.BIN,OUTF.BIN,OUTGL.BIN,OUTGR.BIN,OVER.BIN,POWER.BIN,RICH.BIN,ROBOT.BIN,ROOM1.BIN,ROOM2.BIN,ROOM3.BIN,ROOM4.BIN,TITLE.BIN,WIN.BIN	LOGO.BIN@0x014d
0x20	0x458f	bin_handler_jump_if_zero	verified	HH	HH	jump_if_zero	0	99	AHAL.BIN,BHAL.BIN,CHAL.BIN,COMBAT1.BIN,COMBAT2.BIN,COMBAT3.BIN,COMBAT5.BIN,COMBAT6.BIN,COMBAT7.BIN,CP1.BIN,CP2.BIN,CULT.BIN,DENY.BIN,DHAL.BIN,EHAL.BIN,FEAR.BIN,FHAL.BIN,GHAL.BIN,GHALB.BIN,GHALS.BIN,JELO.BIN,LAW.BIN,NAGE.BIN,OUTGL.BIN,OUTGR.BIN,RICH.BIN,ROBOT.BIN,ROOM1.BIN,ROOM2.BIN,ROOM4.BIN	ROBOT.BIN@0x0482
0x21	0x4787	bin_handler_jump_if_nonzero	verified	HH	HH	jump_if_nonzero	0	67	COMBAT1.BIN,COMBAT2.BIN,COMBAT3.BIN,COMBAT4.BIN,COMBAT5.BIN,COMBAT6.BIN,COMBAT7.BIN,CP2.BIN,DOME.BIN,FHAL.BIN,GHALPL.BIN,GHALPR.BIN,INTRO.BIN,KABLAM.BIN,LOGO.BIN,OVER.BIN,ROOM2.BIN,ROOM4.BIN,TITLE.BIN,WIN.BIN	LOGO.BIN@0x01a9
0x22	0x47a7	bin_handler_jump_if_variables_equal	high	HHH	HHH	jump_if_variables_equal	0,1	7	OUTE.BIN	OUTE.BIN@0x1b6d
0x23	0x47da	bin_handler_jump_if_variable_equals	high	HHH	HHH	jump_if_variable_equals	0	479	AHAL.BIN,BHAL.BIN,CHAL.BIN,COMBAT1.BIN,COMBAT2.BIN,COMBAT3.BIN,COMBAT4.BIN,COMBAT5.BIN,COMBAT6.BIN,COMBAT7.BIN,CP1.BIN,CP2.BIN,CP3.BIN,CULT.BIN,DENY.BIN,DHAL.BIN,EHAL.BIN,FACE.BIN,FEAR.BIN,FHAL.BIN,GHAL.BIN,GHALB.BIN,GHALS.BIN,JELO.BIN,LAW.BIN,NAGE.BIN,OUTA.BIN,OUTB.BIN,OUTC.BIN,OUTD.BIN,OUTE.BIN,OUTF.BIN,OUTGL.BIN,POWER.BIN,RICH.BIN,ROOM1.BIN,ROOM2.BIN,ROOM3.BIN,ROOM4.BIN	FACE.BIN@0x07fc
